Disease,Definition
Fungal infection,"Fungal infection is a common skin condition caused by fungi. A fungal infection, also called mycosis, is a disease caused by a fungus. Common fungal infections include athlete's foot, jock itch, ringworm, and yeast infections. These infections can affect the skin, nails, or lungs and can be itchy and uncomfortable."
Allergy,"Allergy is an immune system reaction to a substance in the environment. An allergy is a condition in which the immune system reacts abnormally to a foreign substance. These substances, such as pollen, dust, and certain foods, are usually harmless to most people. Symptoms can include sneezing, itching, and swelling."
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter. Gastroesophageal reflux disease (GERD) is a long-term digestive disorder where stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus and cause heartburn.
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period. Chronic cholestasis is a condition where the flow of bile from the liver is reduced or blocked for an extended period. Bile is a digestive fluid that helps break down fats. When its flow is disrupted, it can lead to jaundice, itching, and liver damage."
Drug Reaction,"Drug Reaction occurs when the body reacts adversely to a medication. A drug reaction is an unwanted effect caused by the administration of drugs. This can range from mild side effects like nausea to severe allergic reactions such as rashes, swelling, or even anaphylaxis, which is a life-threatening condition."
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine. Peptic ulcer disease involves the development of open sores that form on the inside lining of your stomach and the upper part of your small intestine. The most common symptom is stomach pain. These ulcers can be caused by infection with Helicobacter pylori bacteria and long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs).
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system. Acquired Immunodeficiency Syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease. It is spread through contact with infected blood, semen, or vaginal fluids."
Diabetes,"Diabetes is a chronic condition that affects how the body processes blood sugar. Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Over time, having too much glucose in your blood can cause serious health problems, such as heart disease, nerve damage, eye problems, and kidney disease. There are two main types of diabetes: Type 1 and Type 2."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria. Gastroenteritis, often called stomach flu, is an inflammation of the lining of the intestines caused by a virus, bacteria, or parasites. The most common symptoms are diarrhea, vomiting, and abdominal pain. It is usually spread through contaminated food or water."
Bronchial Asthma,"Bronchial Asthma is a respiratory condition characterized by inflammation of the airways. Bronchial asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, wheezing, and shortness of breath. Asthma can be triggered by allergens, exercise, cold air, or stress."
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition. Hypertension, commonly known as high blood pressure, is a condition in which the force of the blood against your artery walls is too high. Over time, high blood pressure can cause health problems, such as heart disease and stroke. It is often called the ""silent killer"" because it may not show symptoms for many years."
Migraine,"Migraine is a type of headache that often involves severe pain and sensitivity to light and sound. A migraine is a type of headache characterized by intense throbbing or pulsing pain in one area of the head. It is often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Some people experience warning symptoms known as aura before the headache."
Cervical spondylosis,"Cervical spondylosis is a degenerative condition of the cervical spine. Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck. It is a common condition that progresses with age, and it can cause chronic neck pain and stiffness. In severe cases, it can compress the spinal cord or nerve roots, leading to weakness in the arms and hands."
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain. Paralysis due to brain hemorrhage occurs when a blood vessel in the brain bursts, causing bleeding inside the brain. This can disrupt normal brain function and result in the loss of muscle function in part of your body. It is a medical emergency that requires immediate attention."
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems. Jaundice is a condition in which the skin, whites of the eyes, and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment. It is often a sign of liver disease or bile duct problems. Other symptoms may include dark urine and pale stools."
Malaria,"Malaria is a mosquito-borne infectious disease affecting humans and other animals. Malaria is a serious disease caused by a parasite that infects a type of mosquito which feeds on humans. The disease is transmitted through the bites of infected mosquitoes and causes symptoms such as fever, chills, and flu-like illness. Without treatment, it can lead to severe complications and death."
Chicken pox,"Chicken pox is a highly contagious viral infection causing an itchy rash. Chicken pox is a highly contagious viral infection that causes an itchy, blister-like rash on the skin. It is caused by the varicella-zoster virus (VZV). Most cases occur in children, but adults can get it as well. Vaccination can prevent chicken pox."
Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms. Dengue fever is a mosquito-borne viral disease that occurs in tropical and subtropical areas of the world. It causes severe flu-like symptoms, including high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding."
Typhoid,"Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms. Typhoid fever is a bacterial infection caused by Salmonella typhi. It spreads through contaminated food and water and causes symptoms such as prolonged fever, weakness, stomach pain, headache, and loss of appetite. If untreated, it can be fatal."
hepatitis A,"hepatitis A is a viral liver disease. Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. It is usually transmitted through ingestion of contaminated food or water or through direct contact with an infectious person. Symptoms include fatigue, nausea, abdominal pain, and jaundice."
Hepatitis B,"Hepatitis B is a viral infection that attacks the liver. Hepatitis B is a serious liver infection caused by the hepatitis B virus (HBV). It can be chronic and lead to long-term liver disease, liver cancer, or liver failure. It spreads through contact with infectious body fluids, such as blood, semen, and vaginal fluids."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation. Hepatitis C is a liver infection caused by the hepatitis C virus (HCV). It is primarily spread through contact with blood from an infected person. Many people with hepatitis C do not have symptoms for many years, but it can lead to liver damage over time."
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus. Hepatitis D is a liver infection caused by the hepatitis D virus (HDV). It only occurs in people who are already infected with hepatitis B virus. Hepatitis D can cause more severe liver disease than hepatitis B alone.
Hepatitis E,"Hepatitis E is a viral infection that causes liver inflammation. Hepatitis E is a liver disease caused by the hepatitis E virus (HEV). It is primarily transmitted through consuming contaminated water. Symptoms include jaundice, fatigue, and nausea. It is usually self-limiting but can be severe in pregnant women."
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver due to alcohol consumption. Alcoholic hepatitis is an inflammatory condition of the liver caused by excessive alcohol consumption. Symptoms include jaundice, abdominal pain, and fever. It can lead to liver cirrhosis and liver failure if alcohol consumption is not stopped."
Tuberculosis,"Tuberculosis is a bacterial infection that primarily affects the lungs. Tuberculosis (TB) is a potentially serious infectious disease caused by the bacterium Mycobacterium tuberculosis. It mainly affects the lungs but can also affect other parts of the body. Symptoms include a prolonged cough, fever, night sweats, and weight loss."
Common Cold,"Common Cold is a viral infection of the upper respiratory tract. The common cold is a viral infection of your nose and throat (upper respiratory tract). It is usually harmless, although it might not feel that way. Symptoms include a runny nose, sore throat, cough, congestion, and sneezing."
Pneumonia,"Pneumonia is an inflammatory condition affecting the air sacs in the lungs. Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing a cough with phlegm or pus, fever, chills, and difficulty breathing. It can be caused by bacteria, viruses, or fungi."
Dimorphic hemmorhoids(piles),"Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum. Hemorrhoids, also known as piles, are swollen veins in your lower rectum and anus. They can cause discomfort, itching, and bleeding. Hemorrhoids can be internal or external and are often caused by straining during bowel movements, obesity, or pregnancy."
Heart attack,"Heart attack is a sudden and severe reduction in blood flow to the heart muscle. A heart attack, or myocardial infarction, occurs when blood flow to a part of the heart is blocked for a long enough time that part of the heart muscle is damaged or dies. Symptoms include chest pain, shortness of breath, and other discomforts. It is a medical emergency."
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs. Varicose veins are swollen, twisted veins that lie just under the skin and usually occur in the legs. They are often caused by weakened valves and veins in your legs, which can lead to pain and discomfort."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone. Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone. This leads to a slowed metabolism and can cause symptoms such as fatigue, weight gain, and depression."
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone. Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone. This leads to an accelerated metabolism and can cause symptoms such as weight loss, rapid heartbeat, and nervousness."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels. Hypoglycemia is a condition characterized by abnormally low blood sugar (glucose) levels. Symptoms can include shakiness, sweating, confusion, and in severe cases, loss of consciousness. It is often related to diabetes treatment."
Osteoarthristis,"Osteoarthristis is a degenerative joint disease that affects the cartilage in joints. Osteoarthritis is the most common form of arthritis, causing pain, swelling, and reduced motion in your joints. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness. Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms are joint pain and stiffness, which typically worsen with age. There are many types of arthritis, including osteoarthritis and rheumatoid arthritis."
(vertigo) Paroymsal Positional Vertigo,"(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements. Benign paroxysmal positional vertigo (BPPV) is a disorder arising from a problem in the inner ear. It causes brief episodes of mild to intense dizziness, usually triggered by changes in the position of your head."
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells. Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes pimples, blackheads, or whiteheads. It is most common among teenagers, though it affects people of all ages."
Urinary tract infection,"Urinary tract infection is an infection in any part of the urinary system. A urinary tract infection (UTI) is an infection in any part of your urinary system, including your kidneys, bladder, ureters, and urethra. It is more common in women and can cause symptoms such as a strong urge to urinate, a burning sensation when urinating, and cloudy urine."
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches. Psoriasis is a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp. It is a long-term (chronic) disease with no cure, but treatments can help manage symptoms."
Impetigo,"Impetigo is a highly contagious skin infection causing red sores that can break open. Impetigo is a common and highly contagious skin infection that mainly affects infants and children. It causes red sores on the face, especially around a child's nose and mouth. The sores burst and develop honey-colored crusts."
